File,Reading No,ID,AQ,Long,Latitude,Mn_K,Co_K,Ni_K,Zn_K,Mn,Co,Ni,Zn,xcoord,ycoord,density1,SoilType1
XL3-86715-richard,"2788",XL3-86715-richard-2788,"406026",139.876195800000005,-21.373491410000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,383491.859410148,7636099.68034811,2,"11"
XL3-86715-richard,"3590",XL3-86715-richard-3590,"407302",142.375869300000005,-11.056967759999999,"0","0","0","0",Normal,Normal,Normal,Normal,650289.785539925,8777375.48000215,2,"8"
XL3-86715-richard,"3367",XL3-86715-richard-3367,"407958",145.275847300000009,-16.523601039999999,"0","0","0","0",Normal,Normal,Normal,Normal,956627.00400001,8168292.96656387,3,"7"
XL3-86715-richard,"3343",XL3-86715-richard-3343,"407960",145.409999999999997,-16.166666670000001,"0","0","0","496",Normal,Normal,Normal,Accumulator,971836.120319087,8207565.64616379,3,"7"
XL3-86715-richard,"3534",XL3-86715-richard-3534,"408997",145.225844499999994,-15.106941190000001,"0","0","0","0",Normal,Normal,Normal,Normal,954441.802897212,8325472.35313168,3,"9"
XL3-86715-richard,"4034",XL3-86715-richard-4034,"409456",146.225843599999990,-19.006921739999999,"0","0","0","0",Normal,Normal,Normal,Normal,1050602.37190505,7890212.81896297,3,"9"
XL3-86715-richard,"4035",XL3-86715-richard-4035,"409631",146.242507899999993,-18.356924140000000,"0","0","0","0",Normal,Normal,Normal,Normal,1054482.9294886,7962320.08313711,3,"3"
XL3-86715-richard,"3532",XL3-86715-richard-3532,"409726",141.709211000000010,-12.306961590000000,"0","0","0","0",Normal,Normal,Normal,Normal,577117.410724776,8639401.04232245,2,"9"
XL3-86715-richard,"3589",XL3-86715-richard-3589,"410457",143.084197300000000,-12.748623950000001,"709","0","0","0",Normal,Normal,Normal,Normal,726283.853558622,8589754.22673692,3,"8"
XL3-86715-richard,"3214",XL3-86715-richard-3214,"410918",145.584178100000003,-16.915265210000001,"0","0","0","0",Normal,Normal,Normal,Normal,988609.564759312,8124122.76791579,3,"3"
XL3-86715-richard,"3566",XL3-86715-richard-3566,"413042",141.658333300000010,-13.991666670000001,"0","0","0","167",Normal,Normal,Normal,Normal,571097.877423004,8453096.55692515,1,"9"
XL3-86715-richard,"3580",XL3-86715-richard-3580,"413043",141.658333300000010,-13.975000000000000,"120","0","0","0",Normal,Normal,Normal,Normal,571102.995657614,8454939.9135621,1,"9"
XL3-86715-richard,"3681",XL3-86715-richard-3681,"415451",152.250790999999992,-25.248547290000001,"0","0","0","0",Normal,Normal,Normal,Normal,1637693.69068176,7159472.19379927,3,"7"
XL3-86715-richard,"3928",XL3-86715-richard-3928,"416398",153.075782800000013,-25.973542070000001,"0","0","0","132",Normal,Normal,Normal,Normal,1714352.03281191,7070645.08486221,3,"10"
